subject,predicate,object
CHEBI:35475,biolink:related_to,MONDO:0021042
CHEBI:35475,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005335
CHEBI:35475,biolink:treats_or_applied_or_studied_to_treat,MONDO:0008383
CHEBI:35475,biolink:has_phenotype,MONDO:0004972
CHEBI:35475,biolink:related_to,MONDO:0100010
CHEBI:35475,biolink:contributes_to,MONDO:0006875
CHEBI:35475,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005393
CHEBI:35475,biolink:contributes_to,MONDO:0015231
CHEBI:35475,biolink:treats_or_applied_or_studied_to_treat,CHEBI:35842
CHEBI:35475,biolink:subclass_of,CHEBI:35472
CHEBI:2682,biolink:has_phenotype,MONDO:0004975
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0018177
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005249
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021108
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0019136
CHEBI:2682,biolink:related_to,MONDO:0043458
CHEBI:2682,biolink:contributes_to,MONDO:0000266
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005429
CHEBI:2682,biolink:contributes_to,MONDO:0000262
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002041
CHEBI:2682,biolink:related_to,MONDO:0006764
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005723
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005766
CHEBI:2682,biolink:has_phenotype,MONDO:0005445
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005859
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005446
CHEBI:2682,biolink:related_to,MONDO:0011989
CHEBI:2682,biolink:related_to,MONDO:0002008
CHEBI:2682,biolink:related_to,MONDO:0018312
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0016426
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0001409
CHEBI:2682,biolink:has_phenotype,MONDO:0024919
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0002040
CHEBI:2682,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005724
